"LIMIT_BAL","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default","AGE_GROUP_35_50","AGE_GROUP_50_65","AGE_GROUP_Over_65","SEX_2","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","EDUCATION_6","MARRIAGE_1","MARRIAGE_2","MARRIAGE_3"
250000,-1,-1,-1,-1,-1,-1,4843,2942,1054,1708,3014,3037,2942,1057,1708,3014,3037,4974,0,1,0,0,1,0,1,0,0,0,0,1,0,0
170000,1,-2,-2,-2,-2,-1,1564,0,0,0,0,1800,0,0,0,0,1800,1167,0,0,0,0,1,1,0,0,0,0,0,1,0,0
240000,-1,-1,-1,-1,-1,-1,2400,152,3250,2391,1182,321,152,3250,2391,1182,321,118,1,0,0,0,1,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,10640,11252,12277,12287,12140,11990,1185,1600,1000,243,240,619,0,1,0,0,1,0,1,0,0,0,0,1,0,0
60000,1,3,2,0,0,0,25300,23150,20999,21423,19049,18282,0,0,1000,1000,1000,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
290000,-1,-1,-1,-1,-1,0,3137,7999,2948,-6097,11037,17834,8042,2980,2777,17941,10002,10000,0,1,0,0,0,0,1,0,0,0,0,1,0,0
100000,0,0,0,0,0,0,48065,49189,50746,51158,49226,51211,1900,2400,1800,1800,2800,2100,0,0,0,0,1,0,1,0,0,0,0,1,0,0
130000,-1,-1,-1,-1,-1,-1,3363,8305,15253,7338,3666,7856,8319,15253,7338,3669,7856,7836,0,0,0,0,1,1,0,0,0,0,0,1,0,0
300000,-1,-1,-1,-1,-1,-1,729,0,236,766,227,0,0,236,800,227,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
240000,0,0,2,0,0,2,45971,49321,48370,49660,53090,48215,4000,0,2000,4000,0,2000,0,0,0,0,0,0,0,1,0,0,0,1,0,0
70000,0,0,0,0,0,0,67906,68201,69003,70146,71592,66053,2519,2371,2544,3000,1866,1266,0,0,0,0,1,1,0,0,0,0,0,0,1,0
360000,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
200000,-1,-1,-1,-1,-1,-1,313,0,313,152,148,498,0,313,152,148,498,148,0,1,0,0,1,0,1,0,0,0,0,1,0,0
180000,0,0,0,0,0,0,130979,133062,124014,125279,115315,117740,5739,4700,4316,4090,4245,5000,0,1,0,0,1,0,0,1,0,0,0,0,1,0
110000,0,0,0,-2,-2,-2,5660,1150,0,0,0,0,2000,0,0,0,4824,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
200000,1,-1,-1,-2,-2,-1,0,601,0,0,0,259,601,0,0,0,259,150,1,1,0,0,1,1,0,0,0,0,0,1,0,0
50000,0,0,2,3,2,2,33849,36798,37890,37131,38381,39585,3817,2000,150,2000,2000,1600,0,1,0,0,0,1,0,0,0,0,0,1,0,0
60000,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
160000,0,0,0,-1,-1,0,42781,42774,47133,749,5572,10573,2300,2300,749,5572,5573,13793,1,0,0,0,1,0,1,0,0,0,0,1,0,0
340000,-2,-2,-2,-2,-2,-1,132,132,132,132,132,112847,132,132,132,132,112847,5005,0,0,0,0,1,0,1,0,0,0,0,0,0,1
20000,0,0,2,2,4,3,10208,14972,17432,19548,18948,18358,4972,3000,2700,0,0,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,0
30000,1,2,0,0,0,0,33181,32359,33849,34522,33501,32129,0,2000,1389,1068,3000,2508,1,0,0,0,1,0,1,0,0,0,0,0,1,0
30000,2,2,0,0,0,0,30678,29893,29086,25352,25096,24920,1,1957,678,684,776,235,0,0,0,0,1,0,0,1,0,0,0,1,0,0
300000,-1,-1,-2,-2,-2,-2,1943,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
180000,0,0,0,0,0,0,69502,69878,71866,72140,60885,32397,2500,3300,2140,1885,4000,95000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
50000,0,0,0,0,0,0,50411,48409,42248,33855,28064,29660,5000,2000,2500,2500,2000,2500,0,1,0,0,1,0,0,1,0,0,0,1,0,0
80000,3,2,2,2,2,2,45031,47087,48833,47750,50950,51984,3100,2800,0,4000,2000,2000,1,0,0,0,1,1,0,0,0,0,0,0,1,0
200000,0,0,0,0,0,0,103457,111541,113809,35797,36087,38505,10000,5000,1412,1300,3000,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
200000,-2,-1,0,0,0,2,-1883,9208,103360,77818,26276,3235,15143,100057,292,10019,16,810,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20000,0,0,0,0,0,-1,8488,10179,11901,11901,9336,9054,2000,2000,0,0,9054,2000,1,0,0,0,0,0,1,0,0,0,0,0,1,0
300000,0,-2,-2,-2,-2,-2,1555,1599,900,11019,3452,57848,1603,902,11117,3462,58418,16994,0,0,0,0,1,1,0,0,0,0,0,0,1,0
180000,-1,0,-1,-1,-1,-1,5000,1600,2700,12000,0,1995,1600,2700,12000,0,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
230000,0,0,0,0,0,0,10941,12058,13348,14620,15877,16611,1300,1500,1500,1500,1000,1500,0,0,0,0,1,1,0,0,0,0,0,0,1,0
30000,0,0,0,0,0,0,10410,11431,12439,12530,12790,12891,1495,1503,594,610,462,478,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70000,2,2,0,-1,0,0,85863,78125,68899,69131,29289,29898,0,1378,70000,1185,1220,1119,1,1,0,0,1,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,48659,34763,16158,11950,9903,10224,1345,1197,1152,495,1014,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
50000,2,0,0,2,2,0,62643,59851,65545,62672,57755,55512,2151,10000,2100,0,2000,1861,1,0,0,0,1,0,1,0,0,0,0,1,0,0
70000,0,0,0,0,0,0,10083,11091,12117,13125,13407,13692,1184,1210,1218,500,500,543,0,0,1,0,1,0,0,1,0,0,0,0,1,0
140000,0,0,0,0,0,0,140795,93199,64487,53220,50051,45859,3609,2039,3014,2514,1656,1005,0,0,0,0,0,0,0,1,0,0,0,1,0,0
190000,-2,-2,-2,-2,-2,-1,-2650,-2650,-2650,-5036,-5036,93493,0,1941,0,0,98529,3188,1,0,0,0,1,0,1,0,0,0,0,1,0,0
50000,1,2,0,0,0,0,49378,48052,48573,28902,28205,30388,0,2033,1119,985,2000,4000,0,0,0,0,1,0,1,0,0,0,0,1,0,0
160000,0,0,0,0,0,0,155842,158665,132275,57318,42978,0,6139,4026,1492,860,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
60000,0,0,0,0,0,0,57530,59869,59942,28934,27461,28504,3869,2742,1200,1461,1504,1683,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50000,0,0,2,0,-1,0,16691,15412,12420,13156,28315,28908,3500,0,1329,29328,1049,1186,0,0,0,0,1,0,1,0,0,0,0,0,1,0
30000,2,0,0,0,0,0,23575,24584,25885,26851,26808,27599,5549,1700,1900,4738,1000,2000,0,0,0,0,1,1,0,0,0,0,0,0,1,0
380000,-1,0,0,-1,0,-1,43715,60718,21814,47964,33405,2981,60718,2200,48000,0,2981,35500,0,0,1,0,1,0,0,1,0,0,0,0,1,0
20000,2,0,0,0,0,0,15736,16762,17774,18125,18507,19063,1284,1296,647,672,864,1506,0,0,0,0,0,0,0,1,0,0,0,1,0,0
300000,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,-1,0,22854,31329,23927,0,83,20083,9000,1507,0,83,20000,600,0,0,0,0,1,0,0,1,0,0,0,1,0,0
30000,-2,-2,-2,-2,-2,-2,-32,5588,1200,2444,2309,0,11208,5800,2444,2615,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
70000,0,0,0,0,2,0,68971,69872,66932,69043,70252,55732,2700,3100,3900,2500,2500,2500,1,0,0,0,0,1,0,0,0,0,0,0,1,0
20000,-1,-1,-1,-1,-2,-1,17895,13576,18286,-200,0,18486,13605,19352,0,200,18486,5656,0,0,1,0,1,0,1,0,0,0,0,1,0,0
500000,2,0,0,2,0,0,98541,102052,111690,78070,78376,80912,6000,13151,0,3000,5000,10000,1,0,0,0,1,1,0,0,0,0,0,0,1,0
20000,0,0,0,0,2,2,8768,9622,10974,14963,15123,14741,1159,1511,4500,700,0,1000,1,0,0,0,0,0,1,0,0,0,0,0,1,0
120000,0,0,0,0,0,0,35238,35907,31513,31659,30069,8005,1777,2254,1400,800,400,6262,0,0,0,0,1,1,0,0,0,0,0,0,1,0
30000,0,0,0,0,0,0,51261,19097,19816,18471,16305,0,2000,1500,1000,841,0,1030,0,0,1,0,1,0,0,1,0,0,0,1,0,0
70000,3,2,2,2,2,2,51261,64397,65253,63609,68397,69605,3000,2500,0,6000,2500,2700,1,1,0,0,0,0,1,0,0,0,0,0,1,0
130000,0,0,0,0,0,0,5444,5927,7106,7106,8106,9106,1321,1500,0,1000,1000,598,0,0,0,0,0,0,0,1,0,0,0,1,0,0
220000,-2,-2,-2,-2,-2,-2,2662,1918,4626,5602,769,5595,1918,4626,5050,769,5595,5182,0,1,0,0,1,0,1,0,0,0,0,0,1,0
210000,0,0,0,0,0,0,32903,33275,34174,34141,34456,34737,1600,1846,1209,1248,1247,1212,1,0,0,0,0,0,1,0,0,0,0,1,0,0
110000,1,2,0,0,0,0,44278,41812,43095,46292,44744,36243,0,2000,5000,1514,1197,982,0,0,0,0,0,1,0,0,0,0,0,0,1,0
110000,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,2990,0,0,0,0,1,0,1,0,0,0,0,0,1,0
430000,-2,-2,-2,-2,-2,-2,1442,3058,0,980,0,0,3058,0,980,0,0,1030,0,0,0,0,0,0,1,0,0,0,0,0,1,0
290000,-1,-1,-1,-2,-2,-2,929,1729,0,0,0,0,1732,0,0,0,0,335,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80000,2,0,0,0,0,0,85882,84985,84247,81619,30095,20639,3900,4000,2048,1300,1700,401,0,0,1,0,1,0,0,1,0,0,0,0,1,0
10000,1,2,0,0,2,2,2731,2541,3499,4441,4233,5566,0,1000,1000,0,2000,1170,0,0,1,0,1,0,0,1,0,0,0,1,0,0
420000,0,0,0,0,0,0,51261,68979,57706,55628,54797,52759,3527,3000,4000,2500,2000,2100,0,0,0,0,1,0,1,0,0,0,0,1,0,0
120000,1,2,2,2,2,2,75294,76465,74675,79629,77748,82497,3000,0,6200,0,6000,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
30000,0,0,0,2,2,-2,21708,22583,25067,23237,0,0,1542,3026,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
120000,-1,-1,-1,-1,0,-1,2776,2549,2558,2577,249,1976,2549,2558,2577,0,1976,1000,1,0,0,0,1,1,0,0,0,0,0,0,1,0
210000,0,0,0,0,0,0,162518,138078,134428,129871,131091,118405,8006,7009,5000,5000,17137,3863,0,1,0,0,1,0,1,0,0,0,0,1,0,0
100000,0,0,0,0,0,0,9125,10664,12183,13670,15129,15732,2000,2000,2000,2000,1000,2000,1,0,0,0,0,0,1,0,0,0,0,0,1,0
50000,-2,-1,0,0,2,0,1040,4254,6955,9486,9191,12524,4254,2962,5191,0,3500,3000,1,1,0,0,0,0,1,0,0,0,0,1,0,0
60000,0,0,0,0,0,0,42184,42108,41300,40840,40366,38783,2014,1616,1566,1700,1600,1400,0,1,0,0,0,0,1,0,0,0,0,0,1,0
200000,3,2,2,4,4,4,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
30000,2,2,2,2,2,0,29335,29869,26425,28034,27375,23466,4000,0,4400,0,2000,2000,1,0,0,0,1,1,0,0,0,0,0,0,1,0
210000,0,0,0,0,0,0,126113,107216,88039,83304,77605,70260,5002,5030,10008,10017,10000,10000,0,1,0,0,0,1,0,0,0,0,0,1,0,0
50000,0,0,0,0,0,0,44751,43952,29136,19048,17946,17340,1500,1239,612,607,2593,584,0,0,0,0,1,0,1,0,0,0,0,1,0,0
360000,0,0,0,0,0,0,130640,120058,110795,101668,78730,66682,4500,4100,4208,3000,2300,1800,0,0,0,0,1,1,0,0,0,0,0,0,1,0
50000,1,3,2,0,0,-1,4759,4540,4284,2946,1473,1473,0,0,0,0,1473,1473,1,1,0,0,0,0,0,1,0,0,0,1,0,0
290000,0,0,0,0,0,0,285484,286091,286785,285345,239389,231420,10220,11231,10269,8500,10000,10000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
260000,-1,-1,-1,-1,-1,0,5656,591,6574,3551,3634,2440,869,6574,3551,3700,0,5182,0,0,0,0,1,0,1,0,0,0,0,1,0,0
350000,0,0,0,0,0,0,53562,49396,42968,38575,34226,31026,2045,1660,1338,1300,2000,865,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50000,0,0,2,0,0,0,47726,51161,48310,50332,47492,50782,5500,0,3000,3000,5000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
230000,-2,-2,-2,-2,-2,-2,10511,2381,2580,48310,6390,7194,2381,2580,48342,6390,7194,13250,1,0,1,0,1,0,1,0,0,0,0,1,0,0
240000,-1,-1,-1,-1,-1,0,51261,10361,10000,10200,30000,24000,10722,10000,10200,30000,4000,21245,0,0,0,0,0,0,0,1,0,0,0,0,1,0
140000,0,0,0,0,0,0,67371,69027,56175,57666,59604,62480,3100,3888,2800,2800,3800,3000,0,1,0,0,1,1,0,0,0,0,0,1,0,0
70000,0,0,0,0,0,0,40498,41192,42274,43596,44173,45309,1668,1750,2023,1600,1850,5800,0,0,0,0,1,0,1,0,0,0,0,1,0,0
80000,2,2,-1,-1,-1,-1,260,130,130,130,130,130,0,130,130,130,130,130,1,0,0,0,1,0,1,0,0,0,0,0,1,0
260000,-1,-1,-2,-1,-1,-1,470,0,0,550,880,1287,0,0,550,880,1287,925,1,0,0,0,1,1,0,0,0,0,0,0,1,0
70000,0,0,0,0,0,0,4221,6642,8361,10208,11038,11848,2500,2000,2000,1000,1000,1000,1,1,0,0,1,0,1,0,0,0,0,1,0,0
150000,0,0,0,0,0,0,11474,15023,17467,19789,20173,21696,5001,5800,2616,1000,2000,1000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
50000,0,0,0,0,0,0,24408,25169,13368,14142,14911,15660,1300,1500,1000,1000,1000,1000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
60000,2,-1,-1,-1,-1,-1,322,530,8004,692,0,191,563,8004,692,0,191,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
160000,-1,-1,-1,-1,-1,-1,735,735,735,735,735,735,735,735,735,735,735,735,0,1,0,0,0,0,1,0,0,0,0,0,1,0
80000,0,0,0,-1,-1,-1,28788,27620,26352,939,2202,1369,8000,1000,939,2202,1369,4827,0,0,0,0,1,0,1,0,0,0,0,0,1,0
30000,2,0,0,-2,-2,-2,29810,1651,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
100000,0,0,0,0,0,0,91572,95201,94977,97332,74637,77386,5100,3000,3139,27000,4000,4000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
320000,-1,-1,2,-1,2,-1,10159,37758,15591,39240,28424,25120,38075,0,39424,0,25120,35375,0,1,0,0,1,0,1,0,0,0,0,1,0,0
20000,0,0,0,0,0,0,15006,16166,17160,16760,16760,0,1406,1400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
290000,0,0,0,0,0,0,162118,150366,148949,141711,122755,216138,6000,6000,5000,10000,1e+05,7681,0,0,0,0,0,1,0,0,0,0,0,0,1,0
80000,0,0,0,0,0,0,1245,26343,22120,21365,20967,48250,27279,3200,1200,1000,29000,1500,0,1,0,0,0,0,1,0,0,0,0,1,0,0
30000,0,0,0,0,0,2,29336,30047,29904,32025,32479,30894,1800,1470,3500,2000,0,1400,1,0,0,0,1,0,1,0,0,0,0,1,0,0
150000,-1,-1,-1,0,0,0,330,330,63917,59865,59258,57924,330,63917,2100,2100,2200,2200,0,0,0,0,1,0,1,0,0,0,0,0,1,0
150000,0,0,0,0,0,0,141415,144592,147635,129507,132219,134869,5457,5661,4636,4800,4850,5000,1,1,0,0,1,0,0,1,0,0,0,1,0,0
50000,1,-1,-1,0,0,-1,0,484,929,474,0,1288,484,1000,0,0,1288,334,1,0,1,0,0,0,0,1,0,0,0,1,0,0
20000,3,2,2,2,0,0,13139,12636,15212,14675,14835,15047,0,3100,0,700,600,2000,1,0,1,0,0,0,1,0,0,0,0,1,0,0
80000,0,0,0,0,0,0,7790,9123,10656,11474,13117,15899,1467,2000,1000,2000,3000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
290000,0,0,0,0,0,0,76063,72418,65814,60861,60901,53023,4434,3814,2861,1901,2023,3719,0,1,0,0,0,0,1,0,0,0,0,0,1,0
30000,0,0,0,2,0,0,27186,27585,30398,29305,29408,28699,1451,3564,0,1174,1207,4302,1,0,0,0,1,0,1,0,0,0,0,0,1,0
230000,0,0,0,0,0,0,28534,27104,24415,29002,12415,10607,15222,10016,10083,5030,5003,5043,0,0,0,0,0,1,0,0,0,0,0,0,1,0
400000,-2,-2,-2,-2,-1,-1,0,49202,0,0,1524,0,8235,0,0,1524,0,385,0,1,0,0,1,0,1,0,0,0,0,0,1,0
350000,0,0,0,0,0,0,179189,173622,171127,173283,169815,163058,6695,6958,6669,5596,5676,5487,0,1,0,0,0,0,1,0,0,0,0,1,0,0
60000,-1,2,-1,0,0,-1,2130,49202,7801,1308,3058,2190,0,7801,1158,1900,2190,2153,1,1,0,0,1,1,0,0,0,0,0,0,1,0
50000,0,0,0,0,0,0,47194,48381,46777,39420,8824,9009,2002,2000,1530,1000,327,329,1,0,0,0,1,0,0,1,0,0,0,1,0,0
20000,2,4,4,3,3,2,17474,18396,17826,18547,19118,18679,1500,0,1300,1170,0,1600,0,0,1,0,1,0,1,0,0,0,0,0,1,0
150000,0,0,0,0,-1,0,121764,150928,151428,111159,97154,98404,35837,8794,3454,98231,3486,2706,0,0,0,0,1,0,1,0,0,0,0,0,1,0
170000,0,0,0,0,0,0,164824,132485,120267,117453,115778,117411,6107,6000,4500,4500,4500,4500,0,1,0,0,0,0,1,0,0,0,0,1,0,0
20000,0,0,0,-1,-1,0,19667,19974,5491,831,20088,19733,1500,1000,831,20500,1000,1100,1,0,0,0,1,0,1,0,0,0,0,1,0,0
150000,1,2,2,0,0,0,108784,110405,106317,30906,31457,32134,4800,0,1240,1200,1200,1300,1,1,0,0,1,0,1,0,0,0,0,1,0,0
120000,0,0,0,0,0,0,117324,91457,94478,74807,76952,0,3500,5390,3200,3500,3000,77233,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50000,-1,0,0,0,0,0,1060,3229,4107,5931,4665,6607,5549,1005,3208,2000,2000,49980,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20000,0,0,0,0,0,0,15921,16930,17954,18966,19404,19962,1280,1304,1316,754,931,463,1,1,0,0,0,0,0,1,0,0,0,0,1,0
50000,1,-1,-1,0,0,-2,0,354,134,134,0,0,354,134,0,0,0,190,0,0,0,0,1,1,0,0,0,0,0,1,0,0
80000,0,0,0,0,0,0,84437,85065,77727,73713,74328,75649,3093,8000,3000,3000,3000,4000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
20000,0,0,0,0,0,0,19520,16247,6687,5165,5060,2180,1623,1262,1101,2180,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
130000,0,0,0,0,0,0,17505,18529,19545,20217,20890,21541,1312,1328,1000,1000,1000,799,1,1,0,0,1,0,0,1,0,0,0,1,0,0
200000,2,2,2,2,2,2,196979,200055,202494,162228,154294,147514,7800,7500,0,6700,5000,7000,1,0,0,0,0,1,0,0,0,0,0,0,1,0
